Date,Open,High,Low,Close,Adj Close,Volume
2010-07-07,531.957581,532.353821,520.565552,521.828613,477.619873,6340351
2010-07-08,525.023315,529.753479,522.670593,523.586914,479.229187,5527804
2010-07-09,526.979736,527.995117,521.828613,523.859314,479.478485,5987918
2010-07-12,525.023315,528.960999,521.085632,523.165894,478.843781,5798106
2010-07-13,523.661194,533.814941,523.661194,532.106140,487.026611,6942473
2010-07-14,534.929382,542.086548,528.614258,530.199219,485.281281,7370244
2010-07-15,530.942200,535.375183,529.035278,531.685181,486.641388,6404348
2010-07-16,530.496399,531.957581,525.023315,526.484436,481.881226,4051755
2010-07-19,524.082214,527.945618,521.952393,523.066833,478.753174,4526637
2010-07-20,523.537415,527.945618,519.624451,521.531433,477.347839,3159009
2010-07-21,524.478455,526.509216,522.868713,524.230835,479.818512,4534103
2010-07-22,524.230835,525.444336,518.881531,524.528015,480.090607,7328540
2010-07-23,526.979736,530.422119,523.438354,525.246216,480.747864,6364092
2010-07-26,526.756897,528.688538,520.194092,521.605713,477.415833,4205984
2010-07-27,524.453674,525.592896,520.615112,521.803833,477.597198,5599573
2010-07-28,526.509216,531.784241,504.220490,505.830231,462.976776,24425854
2010-07-29,509.421204,509.421204,499.267456,500.332336,457.944733,21358946
2010-07-30,502.709808,505.384460,498.895966,500.084686,457.717987,8880213
2010-08-02,503.229889,506.102661,500.951477,502.511688,459.939423,5850395
2010-08-03,504.790100,510.609924,502.239258,509.049713,465.923523,9278073
2010-08-04,509.173553,510.659454,501.521088,503.254639,460.619446,8453861
2010-08-05,505.186340,507.043732,497.806305,498.796906,456.539337,8449149
2010-08-06,499.713226,500.307587,494.562042,495.354523,453.388550,9209652
2010-08-09,495.304993,498.276825,491.342560,492.135040,450.441895,10270041
2010-08-10,490.847260,496.493744,488.519318,489.311798,447.857819,9225253
2010-08-11,490.252899,492.778961,485.448425,487.008636,445.749786,10114816
2010-08-12,485.398895,487.008636,480.445862,481.733643,440.921692,11496124
2010-08-13,480.693512,492.234100,480.693512,484.953125,443.868347,14081373
2010-08-16,485.398895,491.293030,482.922363,483.863464,442.871094,6474277
2010-08-17,485.398895,487.850677,480.445862,480.767792,440.037628,6825002
2010-08-18,481.931763,483.912994,474.675537,477.771210,437.294922,11472575
2010-08-19,477.325439,487.825897,477.325439,484.012054,443.007080,9535946
2010-08-20,484.012054,492.035980,481.684113,489.683289,448.197876,9689740
2010-08-23,491.367340,491.367340,483.219574,483.863464,442.871094,6250290
2010-08-24,483.863464,485.894196,479.108521,481.634583,440.831055,8895944
2010-08-25,480.445862,484.333984,478.216980,479.356171,438.745667,8593345
2010-08-26,480.445862,481.931763,473.041046,473.734467,433.600189,12845773
2010-08-27,474.947968,475.938568,468.830963,470.341644,430.494812,11221770
2010-08-30,471.579895,477.870270,468.063232,469.524384,429.746735,5495817
2010-08-31,467.889862,470.514984,453.204071,455.284363,416.713135,21508218
2010-09-01,458.181885,467.468872,456.175903,463.704529,424.419983,12869758
2010-09-02,468.063232,468.880493,463.605469,464.323669,424.986664,8168217
2010-09-03,465.586700,466.379181,457.760895,458.503845,419.659882,6664198
2010-09-06,461.104187,474.353607,456.819794,471.852325,431.877472,15657929
2010-09-07,473.016266,480.297272,472.025665,476.632019,436.252258,13097230
2010-09-08,473.065796,477.820740,471.530365,475.294678,435.028229,5368562
2010-09-09,476.953949,479.058990,473.115326,474.774597,434.552185,4667752
2010-09-13,481.436462,493.076141,478.142700,491.590210,449.943207,12679389
2010-09-14,493.076141,496.790924,487.553467,489.435638,447.971222,8986765
2010-09-15,489.856659,504.567200,489.856659,502.189728,459.644775,15485486
2010-09-16,501.298187,502.907928,493.918152,495.478363,453.502014,8556658
2010-09-17,497.781525,510.857574,497.781525,508.851593,465.742218,14747292
2010-09-20,509.668854,517.073669,505.755951,515.810608,472.111694,14038717
2010-09-21,516.107788,519.327271,507.712402,512.714966,469.278290,9853910
2010-09-22,512.145386,516.949829,502.734589,505.235870,462.432831,11940212
2010-09-23,505.235870,507.192322,493.323792,494.141052,452.277954,10628568
2010-09-24,495.304993,499.762756,491.392090,496.122253,454.091339,10461773
2010-09-27,499.267456,505.161560,497.831055,500.357117,457.967407,7598768
2010-09-28,499.416046,501.248657,491.837860,494.562042,452.663239,9083473
2010-09-29,495.304993,499.762756,492.828491,494.809692,452.889893,8210100
2010-09-30,496.295624,496.295624,484.457825,488.989868,447.563141,13375049
2010-10-01,491.342560,500.258057,490.351959,499.217926,456.924744,8816508
2010-10-04,502.709808,508.083862,502.709808,504.146210,461.435425,9766747
2010-10-05,503.229889,511.055695,499.762756,507.118042,464.155548,10586337
2010-10-06,510.164154,518.584351,508.653473,517.568970,473.721069,12985538
2010-10-07,517.568970,522.918274,511.402405,514.696167,471.091644,14559285
2010-10-08,518.435730,522.447693,510.436584,519.896912,475.851807,9629351
2010-10-11,523.042114,531.090820,521.605713,529.580139,484.714691,11905254
2010-10-12,528.985718,529.679199,518.163330,522.843933,478.549164,6451711
2010-10-13,523.091614,531.957581,522.398193,531.487061,486.460022,11060907
2010-10-14,532.452881,535.672363,522.150513,524.528015,480.090607,11267384
2010-10-15,525.023315,528.985718,512.937866,515.290588,471.635742,5354308
2010-10-18,516.231628,527.475037,511.773895,518.807251,474.854401,10249595
2010-10-19,527.499817,529.332458,514.745728,517.296570,473.471802,8574490
2010-10-20,514.820007,527.202637,514.126587,519.797852,475.761139,8414451
2010-10-21,521.060852,538.817566,519.674011,535.746643,490.358856,17201550
2010-10-22,537.628845,541.764587,532.130920,535.820923,490.426697,9057986
2010-10-25,538.891846,545.776611,537.901245,540.055786,494.302795,8315835
2010-10-26,540.328247,545.306030,538.446045,544.265930,498.156342,7127489
2010-10-27,543.844910,549.788574,536.539124,541.244568,495.390930,10128334
2010-10-28,544.538330,545.281250,532.254761,535.920044,490.517456,16700766
2010-10-29,538.743225,548.401672,535.177063,542.978088,496.977570,13717000
2010-11-01,555.236938,557.168579,539.510986,541.467407,495.594940,14080031
2010-11-02,542.557129,542.557129,530.124939,532.378601,487.276062,9396448
2010-11-03,535.920044,537.356384,526.335876,527.648438,482.946655,9202303
2010-11-04,533.889282,548.302612,532.452881,547.336792,500.967102,11219900
2010-11-08,551.720215,554.246277,545.107910,550.704895,504.049774,10321034
2010-11-09,550.903015,554.989258,543.473389,549.070374,502.553711,7111739
2010-11-10,548.154053,553.206177,544.439270,545.925171,499.674927,5491414
2010-11-11,547.807312,550.680115,532.948181,534.879883,489.565369,5856460
2010-11-12,535.003723,538.594666,523.537415,525.939636,481.382599,8829369
2010-11-15,528.539978,528.936218,514.225647,522.398193,478.141144,7423193
2010-11-16,524.528015,524.528015,508.455353,510.411804,467.170288,9153069
2010-11-18,519.971191,519.971191,502.239258,511.625305,468.280945,10511488
2010-11-19,513.135986,513.135986,488.915558,493.447601,451.643280,11457417
2010-11-22,497.038574,503.452759,493.918152,501.372498,458.896790,8748538
2010-11-23,497.608185,497.781525,482.922363,493.125671,451.348633,15282026
2010-11-24,494.809692,504.121429,488.395508,493.348541,451.552582,9093326
2010-11-25,496.295624,496.790924,481.931763,485.151245,444.049713,13435553
2010-11-26,487.875427,490.550079,474.650787,476.656769,436.274933,14140061
2010-11-29,480.198212,496.518494,476.681549,494.512512,452.617950,10803294
2010-11-30,495.205933,499.614166,485.943726,488.172607,446.815155,14068208
2010-12-01,487.875427,494.017212,486.909576,489.757599,448.265869,8642428
2010-12-02,494.809692,501.966858,492.853241,500.827667,458.398071,11460952
2010-12-03,502.239258,507.192322,494.314392,498.227295,456.018005,9064443
2010-12-06,503.155579,510.164154,501.743958,505.285400,462.478210,8210201
2010-12-07,505.211090,514.968628,505.211090,510.535645,467.283600,10336661
2010-12-08,507.638092,509.049713,500.827667,505.483521,462.659454,7844267
2010-12-09,507.464752,512.071106,484.779785,487.627777,446.316437,14637013
2010-12-10,488.766968,510.164154,485.076965,507.142792,464.178223,12243268
2010-12-13,507.217102,518.089050,500.258057,515.984009,472.270386,7769099
2010-12-14,516.603149,525.023315,516.107788,522.670593,478.390533,9267439
2010-12-15,522.051453,527.004517,513.135986,522.001953,477.778503,9892722
2010-12-16,523.884094,525.023315,515.141968,523.463074,479.115845,7167456
2010-12-20,517.593750,528.985718,517.395630,523.413574,479.070526,7318510
2010-12-21,524.973755,532.403320,524.156494,531.536560,486.505371,7425418
2010-12-22,531.363220,532.452881,519.252991,523.066833,478.753174,6983480
2010-12-23,523.933655,527.351257,520.317932,524.726135,480.271881,6733253
2010-12-24,521.556152,527.252197,520.070251,524.874695,480.407898,4362556
2010-12-27,524.181274,529.381958,520.639832,522.670593,478.390533,2668414
2010-12-28,523.190674,524.874695,516.231628,519.030090,475.058411,4087665
2010-12-29,519.228210,522.546753,518.237610,519.376831,475.375763,5161649
2010-12-30,521.258972,522.918274,518.212830,520.664612,476.554443,6720247
2010-12-31,524.057434,528.242798,521.655212,524.379395,479.954529,4602737
2011-01-03,527.499817,528.242798,521.358032,522.843933,478.549164,4804792
2011-01-04,525.023315,534.879883,523.685974,533.493042,488.296112,10163093
2011-01-05,534.929382,539.882446,529.976379,532.849121,487.706604,11972802
2011-01-06,533.938782,540.575867,532.229980,537.703125,492.149536,10043704
